>>>  [RYBNIK];;;;;(c) PZI 'TARAN' Mielec  www.taran.com.pl **;;19.11.2021;;07:10;#1;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

Przystanki:;;;;;;;;;;;;;;

;;;;;;;;;;;;

Lp; Ulica ; Nazwa przystanku ;;;; S³upek ; Nrprzystanku ; Nrs³upka ; Strefa ; PKPasa ; PKKier ; Nr inwentarzowy ; Urz¹dzenie przystankowe ;;; Autobus ; Inny - Techniczny ; Koleje PKP; GPS-D³ugoœæ ; GPS-Szerokoœæ ; GPS-pochodzenia ; GPS-Strefa; Lok.wg drogi; Nazwa skrócona ; Nazwa na wydruk ; Nazwa dla SRG ; Piktogram ; Wymowa skrócona ; Wymowa rozszerzona ; Ulica ; Miejscowoœæ ; Kraj ; Gmina ; Osiedle ; Nazwakrañca ; Ids³upka ; Modyfikowa³ ; Data edycji; Godzedycji ; Symbol przystanku ;; Symbol s³upka;; Dodatkowe inf. ;;
39;¯orska;Gotartowice Pêtla;;;;Got;292;1;0;;;;;;;ABus;;;18,37,44.0;50,04,26.1;Brak;50;;Got Pêtla;Gotartowice Pêtla;Got Pêtla;;Gotartowice Pêtla;Gotartowice Pêtla;¯orska;Rybnik;;RYBNIK;GOTARTOWICE;;604;DBTARAN1;15-03-2018;13:43:03;;;;;;;
40;¯orska;Gotartowice tymczasowy;;;;;415;0;0;;;;;;;ABus;;;18,37,07.8;50,04,39.0;Brak;50;;Bog;Gotartowice tymczasowy;Got Tymczasowy;;Gotartowice tymczasowy;Gotartowice tymczasowy;¯orska;Rybnik;;RYBNIK;GOTARTOWICE;;844;ALASKA0;15-03-2018;13:43:03;;;;;;;
41;¯orska;Gotartowice tymczasowy;;;;Lig;415;1;0;;;;;;;ABus;;;18,37,07.8;50,04,39.0;Brak;50;;Bog;Gotartowice tymczasowy;Got Tymczasowy;;Gotartowice tymczasowy;Gotartowice tymczasowy;¯orska;Rybnik;;RYBNIK;GOTARTOWICE;;845;ALASKA0;15-03-2018;13:43:03;;;;;;;
42;Gotartowicka;Gotartowicka Cmentarz;;;;B stare;366;0;0;;;;;;;ABus;;;18,36,04.7;50,04,05.5;Brak;50;;Got Cmentarz;Gotartowicka Cmentarz;Got Cmentarz;;Gotartowicka Cmentarz;Gotartowicka Cmentarz;Gotartowicka;;;;BOGUSZOWICE STARE;;736;DBTARAN1;15-03-2018;13:43:03;;;;;;;
43;Gotartowicka;Gotartowicka Cmentarz;;;;Got;366;1;0;;;;;;;ABus;;;18,36,04.7;50,04,05.5;Brak;50;;Got Cmentarz;Gotartowicka Cmentarz;Got Cmentarz;;Gotartowicka Cmentarz;Gotartowicka Cmentarz;Gotartowicka;;;;BOGUSZOWICE STARE;;852;ALASKA0;31-10-2018;08:27:33;;;;;;;
44;;Górki Koœció³;;;;Remiza;265;0;1;;;;;;;ABus;;;18,23,17.1;50,08,24.8;Brak;50;;Górki Koœció³;Górki Koœció³;Górki Koœció³;;Górki Koœció³;Górki Koœció³;;Górki Œl¹skie;;NÊDZA;;;547;DBTARAN1;27-08-2009;19:06:24;;;;;;;
45;;Górki Koœció³;;;;Sumina;265;1;1;;;;;;;ABus;;;18,23,17.2;50,08,25.2;Brak;50;;Górki Koœció³;Górki Koœció³;Górki Koœció³;;Górki Koœció³;Górki Koœció³;;Górki Œl¹skie;;NÊDZA;;;550;DBTARAN1;27-08-2009;19:06:24;;;;;;;
46;;Górki Remiza;;;;Kon;266;0;1;;;;;;;ABus;;;18,22,44.1;50,08,32.3;Brak;50;;Górki Remiza;Górki Remiza;Górki Remiza;;Górki Remiza;Górki Remiza;;Górki Œl¹skie;;NÊDZA;;;548;DBTARAN1;27-08-2009;19:06:24;;;;;;;
47;;Górki Remiza;;;;Koœció³;266;1;1;;;;;;;ABus;;;18,22,44.3;50,08,32.6;Brak;50;;Górki Remiza;Górki Remiza;Górki Remiza;;Górki Remiza;Górki Remiza;;Górki Œl¹skie;;NÊDZA;;;549;DBTARAN1;15-03-2018;13:43:03;;;;;;;
48;;Jankowice ?;;;;J Ryb;370;0;0;;;;;;;ABus;;;00,00,00.0;00,00,00.0;Brak;50;;Jankowice ?;Jankowice ?;Jankowice ?;;Jankowice ?;Jankowice ?;;;;;;;742;DBTARAN1;15-03-2018;13:43:03;;;;;;;
49;;Jankowice ?;;;;Popielów;370;1;0;;;;;;;ABus;;;00,00,00.0;00,00,00.0;Brak;50;;Jankowice ?;Jankowice ?;Jankowice ?;;Jankowice ?;Jankowice ?;;;;;;;743;DBTARAN1;15-03-2018;13:43:03;;;;;;;
50;Nowa;Jankowice G.S.;;;;Skrzy¿;273;1;1;;;;;;;ABus;;;18,34,14.8;50,02,35.3;Brak;150;;Jan G.S.;Jankowice G.S.;Jan G.S.;;Jankowice G.S.;Jankowice G.S.;Nowa;Jankowice;;ŒWIERKLANY;;;566;.GRZEGORZ;26-04-2018;07:53:52;;;;;;;
51;Nowa;Jankowice G.S.;;;;Kon;273;0;1;;;;;;;ABus;;;18,34,14.8;50,02,34.8;Brak;150;;Jan G.S.;Jankowice G.S.;Jan G.S.;;Jankowice G.S.;Jankowice G.S.;Nowa;Jankowice;;ŒWIERKLANY;;;565;.GRZEGORZ;26-04-2018;07:53:54;;;;;;;
52;Œwierklañska;Jankowice Gwarek;;;;J UG;197;1;1;;;;;;;ABus;;;18,34,04.9;50,02,51.8;Brak;50;;Jan Gwarek;Jankowice Gwarek;Jan Gwarek;;Jankowice Gwarek;Jankowice Gwarek;Œwierklañska;Jankowice;;ŒWIERKLANY;;;400;.GRZEGORZ;11-05-2017;08:42:31;;;;;;;
53;Œwierklañska;Jankowice Gwarek;;;;Œwierkla;197;0;1;;;;;;;ABus;;;18,34,04.9;50,02,51.9;Brak;50;;Jan Gwarek;Jankowice Gwarek;Jan Gwarek;;Jankowice Gwarek;Jankowice Gwarek;Œwierklañska;Jankowice;;ŒWIERKLANY;;;399;.GRZEGORZ;26-04-2018;07:53:53;;;;;;;
54;Koœcielna;Jankowice Koœcielna;;;;Koœció³;269;0;1;;;;;;;ABus;;;18,32,50.8;50,02,52.5;Brak;50;;Jan Koœcielna;Jankowice Koœcielna;Jan Koœcielna;;Jankowice Koœcielna;Jankowice Koœcielna;Koœcielna;Jankowice;;ŒWIERKLANY;;;557;.GRZEGORZ;26-04-2018;07:53:54;;;;;;;
55;Koœcielna;Jankowice Koœcielna;;;;Sklep;269;1;1;;;;;;;ABus;;;18,32,51.5;50,02,52.4;Brak;50;;Jan Koœcielna;Jankowice Koœcielna;Jan Koœcielna;;Jankowice Koœcielna;Jankowice Koœcielna;Koœcielna;Jankowice;;ŒWIERKLANY;;;558;.GRZEGORZ;26-04-2018;07:53:53;;;;;;;
56;Koœcielna;Jankowice Koœció³;;;;Kon;270;2;1;;;;;;;ABus;;;00,00,00.0;00,00,00.0;Brak;50;;Jan Koœció³;Jankowice Koœció³;Jan Koœció³;;Jankowice Koœció³;Jankowice Koœció³;Koœcielna;Jankowice;;ŒWIERKLANY;;;571;.GRZEGORZ;11-05-2017;08:51:58;;;;;;;
57;Koœcielna;Jankowice Koœció³;;;;Koœcielna;270;1;1;;;;;;;ABus;;;18,32,50.6;50,02,47.3;Brak;50;;Jan Koœció³;Jankowice Koœció³;Jan Koœció³;;Jankowice Koœció³;Jankowice Koœció³;Koœcielna;Jankowice;;ŒWIERKLANY;;;560;.GRZEGORZ;26-04-2018;07:53:52;;;;;;;
58;Koœcielna;Jankowice Koœció³;;;;Koœcielna1;270;3;1;;;;;;;ABus;;;18,32,52.9;50,02,47.0;Brak;50;;Jan Koœció³;Jankowice Koœció³;Jan Koœció³;;Jankowice Koœció³;Jankowice Koœció³;Koœcielna;Jankowice;;ŒWIERKLANY;;;572;.GRZEGORZ;11-05-2017;08:52:43;;;;;;;
>>>  [RYBNIK];;;;;(c) PZI 'TARAN' Mielec  www.taran.com.pl **;;19.11.2021;;07:10;#3;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

Przystanki:;;;;;;;;;;;;;;

;;;;;;;;;;;;

Lp; Ulica ; Nazwa przystanku ;;;; S³upek ; Nrprzystanku ; Nrs³upka ; Strefa ; PKPasa ; PKKier ; Nr inwentarzowy ; Urz¹dzenie przystankowe ;;; Autobus ; Inny - Techniczny ; Koleje PKP; GPS-D³ugoœæ ; GPS-Szerokoœæ ; GPS-pochodzenia ; GPS-Strefa; Lok.wg drogi; Nazwa skrócona ; Nazwa na wydruk ; Nazwa dla SRG ; Piktogram ; Wymowa skrócona ; Wymowa rozszerzona ; Ulica ; Miejscowoœæ ; Kraj ; Gmina ; Osiedle ; Nazwakrañca ; Ids³upka ; Modyfikowa³ ; Data edycji; Godzedycji ; Symbol przystanku ;; Symbol s³upka;; Dodatkowe inf. ;;
59;Koœcielna;Jankowice Koœció³;;;;Wowry;270;0;1;;;;;;;ABus;;;18,32,50.0;50,02,47.5;Brak;50;;Jan Koœció³;Jankowice Koœció³;Jan Koœció³;;Jankowice Koœció³;Jankowice Koœció³;Koœcielna;Jankowice;;ŒWIERKLANY;;;559;.GRZEGORZ;26-04-2018;07:53:54;;;;;;;
60;Boguszowicka;Jankowice Pêtla;;;;Ko¿doniów;227;1;1;;;;;;;ABus;;;18,34,24.4;50,03,07.2;Brak;50;;Jan Pêtla;Jankowice Pêtla;Jan Pêtla;;Jankowice Pêtla;Jankowice Pêtla;Boguszowicka;Jankowice;;ŒWIERKLANY;;;467;.GRZEGORZ;26-04-2018;07:53:53;;;;;;;
