>>>  [RYBNIK];;;;;(c) PZI 'TARAN' Mielec  www.taran.com.pl **;;19.11.2021;;07:10;#1;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

Przystanki:;;;;;;;;;;;;;;

;;;;;;;;;;;;

Lp; Ulica ; Nazwa przystanku ;;;; S³upek ; Nrprzystanku ; Nrs³upka ; Strefa ; PKPasa ; PKKier ; Nr inwentarzowy ; Urz¹dzenie przystankowe ;;; Autobus ; Inny - Techniczny ; Koleje PKP; GPS-D³ugoœæ ; GPS-Szerokoœæ ; GPS-pochodzenia ; GPS-Strefa; Lok.wg drogi; Nazwa skrócona ; Nazwa na wydruk ; Nazwa dla SRG ; Piktogram ; Wymowa skrócona ; Wymowa rozszerzona ; Ulica ; Miejscowoœæ ; Kraj ; Gmina ; Osiedle ; Nazwakrañca ; Ids³upka ; Modyfikowa³ ; Data edycji; Godzedycji ; Symbol przystanku ;; Symbol s³upka;; Dodatkowe inf. ;;
650;Plebiscytowa;R-k Zamys³ów Plebiscytowa;;;;Plebis...;50;0;0;;;;;;;ABus;;;18,31,32.9;50,04,57.0;Brak;50;;Zam Plebiscytow;Zamys³ów Plebiscytowa;Zam Plebiscytow;;Zamys³ów Plebiscytowa;Zamys³ów Plebiscytowa;Plebiscytowa;Rybnik;;RYBNIK;ZAMYS£ÓW;;93;.GRZEGORZ;27-04-2021;08:29:31;;;;;;;
651;Plebiscytowa;R-k Zamys³ów Plebiscytowa;;;;Osiedle;50;1;0;;;;;;;ABus;;;18,31,32.9;50,04,57.0;Brak;50;;Zam Plebiscytow;Zamys³ów Plebiscytowa;Zam Plebiscytow;;Zamys³ów Plebiscytowa;Zamys³ów Plebiscytowa;Plebiscytowa;Rybnik;;RYBNIK;ZAMYS£ÓW;;117;.GRZEGORZ;27-04-2021;08:29:48;;;;;;;
652;Pod Lasem;R-k Zamys³ów Wodoci¹gi;;;;Wrzosy;202;1;0;;;;;;;ABus;;;18,30,20.1;50,04,55.4;Brak;50;;Zam Wodoci¹gi;Zamys³ów Wodoci¹gi;Zam Wodoci¹gi;;Zamys³ów Wodoci¹gi;Zamys³ów Wodoci¹gi;Pod Lasem;Rybnik;;RYBNIK;ZAMYS£ÓW;;410;.GRZEGORZ;16-08-2017;10:47:20;;;;;;;
653;Pod Lasem;R-k Zamys³ów Wodoci¹gi;;;;Gruntowa;202;0;0;;;;;;;ABus;;;18,30,15.7;50,04,57.5;Brak;50;;Zam Wodoci¹gi;Zamys³ów Wodoci¹gi;Zam Wodoci¹gi;;Zamys³ów Wodoci¹gi;Zamys³ów Wodoci¹gi;Pod Lasem;Rybnik;;RYBNIK;ZAMYS£ÓW;;409;.GRZEGORZ;16-08-2017;10:47:20;;;;;;;
654;Wodzis³awska;R-k Zamys³ów Wodzis³awska;;;;Pary¿;69;0;0;;;;;;;ABus;;;18,31,33.1;50,04,50.5;Brak;50;;Zam Wodzis³awsk;Zamys³ów Wodzis³awska;Zam Wodzis³awsk;;Zamys³ów Wodzis³awska;Zamys³ów Wodzis³awska;Wodzis³awska;Rybnik;;RYBNIK;ZAMYS£ÓW;;129;.GRZEGORZ;27-04-2021;08:30:16;;;;;;;
655;Wodzis³awska;R-k Zamys³ów Wodzis³awska;;;;Osiedle;69;1;0;;;;;;;ABus;;;18,31,33.1;50,04,49.7;Brak;50;;Zam Wodzis³awsk;Zamys³ów Wodzis³awska;Zam Wodzis³awsk;;Zamys³ów Wodzis³awska;Zamys³ów Wodzis³awska;Wodzis³awska;Rybnik;;RYBNIK;ZAMYS£ÓW;;130;.GRZEGORZ;27-04-2021;08:30:40;;;;;;;
656;Niedobczycka;R-k Zamys³ów Wrzosy;;;;Niedob...;52;0;0;;;;;;;ABus;;;18,30,38.2;50,04,44.0;Brak;50;;Zam Wrzosy;Zamys³ów Wrzosy;Zam Wrzosy;;Zamys³ów Wrzosy;Zamys³ów Wrzosy;Niedobczycka;Rybnik;;RYBNIK;ZAMYS£ÓW;;95;.GRZEGORZ;27-04-2021;08:31:08;;;;;;;
657;Niedobczycka;R-k Zamys³ów Wrzosy;;;;Plebis...;52;1;0;;;;;;;ABus;;;18,30,44.0;50,04,48.0;Brak;50;;Zam Wrzosy;Zamys³ów Wrzosy;Zam Wrzosy;;Zamys³ów Wrzosy;Zamys³ów Wrzosy;Niedobczycka;Rybnik;;RYBNIK;ZAMYS£ÓW;;115;.GRZEGORZ;27-04-2021;08:31:25;;;;;;;
658;Pod Lasem;R-k Zamys³ów Wrzosy;;;;Wodoci....;52;2;0;;;;;;;ABus;;;18,30,34.1;50,04,48.3;Brak;50;;Zam Wrzosy;Zamys³ów Wrzosy;Zam Wrzosy;;Zamys³ów Wrzosy;Zamys³ów Wrzosy;Pod Lasem;Rybnik;;RYBNIK;ZAMYS£ÓW;;408;.GRZEGORZ;27-04-2021;08:31:43;;;;;;;
659;Zebrzydowicka;R-k Zebrzydowice;;;;Jejkowice;174;0;0;;;;;;;ABus;;;18,29,11.0;50,06,07.9;Brak;50;;Zebrzydowice;Zebrzydowice;Zebrzydowice;;Zebrzydowice;Zebrzydowice;Zebrzydowicka;Rybnik;;RYBNIK;ZEBRZYDOWICE;;343;.GRZEGORZ;11-05-2017;09:35:44;;;;;;;
660;Zebrzydowicka;R-k Zebrzydowice;;;;Szko³a;174;1;1;;;;;;;ABus;;;18,29,16.1;50,06,06.8;Brak;50;;Zebrzydowice;Zebrzydowice;Zebrzydowice;;Zebrzydowice;Zebrzydowice;Zebrzydowicka;Rybnik;;RYBNIK;ZEBRZYDOWICE;;344;.GRZEGORZ;27-04-2021;08:31:57;;;;;;;
661;Graniczna;R-k Zebrzydowice Kasztanowa;;;;Las;399;0;0;;;;;;;ABus;;;18,29,58.5;50,05,43.5;Brak;0;;Z Kasztanowa;Zebrzydowice Kasztanowa;Z Kasztanowa;;Zebrzydowice Kasztanowa;Zebrzydowice Kasztanowa;Graniczna;Rybnik;;RYBNIK;ORZEPOWICE;;808;.GRZEGORZ;11-05-2017;09:35:49;;;;;;;
662;Graniczna;R-k Zebrzydowice Kasztanowa;;;;Myto;399;1;0;;;;;;;ABus;;;18,29,58.5;50,05,43.5;Brak;0;;Z Kasztanowa;Zebrzydowice Kasztanowa;Z Kasztanowa;;Zebrzydowice Kasztanowa;Zebrzydowice Kasztanowa;Graniczna;Rybnik;;RYBNIK;ORZEPOWICE;;816;.GRZEGORZ;11-05-2017;09:35:49;;;;;;;
663;Graniczna;R-k Zebrzydowice Las;;;;Garbocze;400;0;0;;;;;;;ABus;;;18,30,00.1;50,05,23.3;Brak;0;;Z Las;Zebrzydowice Las;Z las;;Zebrzydowice Las;Zebrzydowice Las;Graniczna;Rybnik;;RYBNIK;ZEBRZYDOWICE;;809;.GRZEGORZ;11-05-2017;09:36:48;;;;;;;
664;Graniczna;R-k Zebrzydowice Las;;;;Kasztanowa;400;1;0;;;;;;;ABus;;;18,30,00.1;50,05,23.3;Brak;0;;Z Las;Zebrzydowice Las;Z las;;Zebrzydowice Las;Zebrzydowice Las;Graniczna;Rybnik;;RYBNIK;ZEBRZYDOWICE;;815;.GRZEGORZ;11-05-2017;09:36:48;;;;;;;
665;Zebrzydowicka;R-k Zebrzydowice Myto;;;;Szko³a;172;0;0;;;;;;;ABus;;;18,30,00.0;50,05,58.9;Brak;50;;Zeb Myto;Zebrzydowice Myto;Zeb Myto;;Zebrzydowice Myto;Zebrzydowice Myto;Zebrzydowicka;Rybnik;;RYBNIK;ZEBRZYDOWICE;;339;.GRZEGORZ;27-04-2021;08:32:18;;;;;;;
666;Zebrzydowicka;R-k Zebrzydowice Myto;;;;Ksiê¿ok;172;1;0;;;;;;;ABus;;;18,30,00.1;50,05,59.1;Brak;50;;Zeb Myto;Zebrzydowice Myto;Zeb Myto;;Zebrzydowice Myto;Zebrzydowice Myto;Zebrzydowicka;Rybnik;;RYBNIK;ZEBRZYDOWICE;;340;.GRZEGORZ;11-05-2017;09:36:02;;;;;;;
667;Przedmieœcie;R-k Zebrzydowice Przedmieœcie;;;;Szko³a;398;0;0;;;;;;;ABus;;;18,30,03.9;50,06,25.8;Brak;0;;Z Przedmieœcie;R-k Zebrzydowice Przedmieœcie;Z. Przedmieœcie;;Zebrzydowice Przedmieœcie;Zebrzydowice Przedmieœcie;Przedmieœcie;Rybnik;;RYBNIK;ORZEPOWICE;;807;.GRZEGORZ;11-05-2017;09:36:08;;;;;;;
>>>  [RYBNIK];;;;;(c) PZI 'TARAN' Mielec  www.taran.com.pl **;;19.11.2021;;07:10;#24;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

Przystanki:;;;;;;;;;;;;;;

;;;;;;;;;;;;

Lp; Ulica ; Nazwa przystanku ;;;; S³upek ; Nrprzystanku ; Nrs³upka ; Strefa ; PKPasa ; PKKier ; Nr inwentarzowy ; Urz¹dzenie przystankowe ;;; Autobus ; Inny - Techniczny ; Koleje PKP; GPS-D³ugoœæ ; GPS-Szerokoœæ ; GPS-pochodzenia ; GPS-Strefa; Lok.wg drogi; Nazwa skrócona ; Nazwa na wydruk ; Nazwa dla SRG ; Piktogram ; Wymowa skrócona ; Wymowa rozszerzona ; Ulica ; Miejscowoœæ ; Kraj ; Gmina ; Osiedle ; Nazwakrañca ; Ids³upka ; Modyfikowa³ ; Data edycji; Godzedycji ; Symbol przystanku ;; Symbol s³upka;; Dodatkowe inf. ;;
668;Przedmieœcie;R-k Zebrzydowice Przedmieœcie;;;;Borki;398;1;0;;;;;;;ABus;;;18,30,03.9;50,06,25.8;Brak;0;;Z Przedmieœcie;R-k Zebrzydowice Przedmieœcie;Z. Przedmieœcie;;Zebrzydowice Przedmieœcie;Zebrzydowice Przedmieœcie;Przedmieœcie;Rybnik;;RYBNIK;ORZEPOWICE;;818;.GRZEGORZ;11-05-2017;09:36:08;;;;;;;
669;Zebrzydowicka;R-k Zebrzydowice Szko³a;;;;Zebrzyd..;173;0;0;;;;;;;ABus;;;18,29,30.8;50,06,05.0;Brak;50;;Zeb Szko³a;Zebrzydowice Szko³a;Zeb Szko³a;;Zebrzydowice Szko³a;Zebrzydowice Szko³a;Zebrzydowicka;Rybnik;;RYBNIK;ZEBRZYDOWICE;;341;.GRZEGORZ;27-04-2021;08:32:45;;;;;;;
670;Zebrzydowicka;R-k Zebrzydowice Szko³a;;;;Myto;173;1;0;;;;;;;ABus;;;18,29,38.2;50,06,03.5;Brak;50;;Zeb Szko³a;Zebrzydowice Szko³a;Zeb Szko³a;;Zebrzydowice Szko³a;Zebrzydowice Szko³a;Zebrzydowicka;Rybnik;;RYBNIK;ZEBRZYDOWICE;;342;.GRZEGORZ;11-05-2017;09:36:13;;;;;;;
671;Zebrzydowicka;R-k Zebrzydowice Szko³a;;;;Przedmi...;173;2;0;;;;;;;ABus;;;18,29,35.3;50,06,06.9;Brak;50;;Zeb Szko³a;Zebrzydowice Szko³a;Zeb Szko³a;;Zebrzydowice Szko³a;Zebrzydowice Szko³a;Zebrzydowicka;Rybnik;;RYBNIK;ZEBRZYDOWICE;;817;.GRZEGORZ;27-04-2021;08:33:12;;;;;;;
672;Domeyki;Radlin Domeyki;;;;Cegielnia;209;1;1;;;;;;;ABus;;;18,27,12.6;50,02,51.2;Brak;50;;Radlin Domeyki;Radlin Domeyki;Radlin Domeyki;;Radlin Domeyki;Radlin Domeyki;Domeyki;Radlin;;RADLIN;;;424;.GRZEGORZ;11-05-2017;09:36:56;;;;;;;
673;Domeyki;Radlin Domeyki;;;;Piekarnia;209;0;1;;;;;;;ABus;;;18,27,13.2;50,02,50.0;Brak;50;;Radlin Domeyki;Radlin Domeyki;Radlin Domeyki;;Radlin Domeyki;Radlin Domeyki;Domeyki;Radlin;;RADLIN;;;423;.GRZEGORZ;11-05-2017;09:36:56;;;;;;;
674;Rydu³towska;Radlin Hallera Sokolnia;;;;Reden;62;1;1;;;;;;;ABus;;;18,28,04.1;50,03,20.2;Brak;50;;Radlin Sokolnia;Radlin Hallera Sokolnia;Radlin Sokolnia;;Radlin Hallera Sokolnia;Radlin Hallera Sokolnia;Rydu³towska;Radlin;;RADLIN;;;431;.GRZEGORZ;24-11-2017;12:01:39;;;;;;;
675;Rydu³towska;Radlin Hallera Sokolnia;;;;B skrzy¿;62;2;1;;;;;;;ABus;;;18,28,04.1;50,03,20.2;Brak;50;;Radlin Sokolnia;Radlin Hallera Sokolnia;Radlin Sokolnia;;Radlin Hallera Sokolnia;Radlin Hallera Sokolnia;Rydu³towska;Radlin;;RADLIN;;;432;.GRZEGORZ;11-05-2017;09:37:01;;;;;;;
676;Hallera;Radlin Hallera Sokolnia;;;;Ignacy;62;0;1;;;;;;;ABus;;;18,28,08.0;50,03,20.2;Brak;50;;Radlin Sokolnia;Radlin Hallera Sokolnia;Radlin Sokolnia;;Radlin Hallera Sokolnia;Radlin Hallera Sokolnia;Hallera;Radlin;;RADLIN;;;107;.GRZEGORZ;11-05-2017;09:37:01;;;;;;;
677;;Radlin II PKP;;;;;361;0;3;;;;;;;ABus;;;00,00,00.0;00,00,00.0;Brak;50;;Radlin II PKP;Radlin II PKP;Radlin II PKP;;Radlin II PKP;Radlin II PKP;;;;;;;724;DBTARAN1;15-03-2018;13:43:03;;;;;;;
678;;Radlin II PKP;;;;Rad Piek;361;1;3;;;;;;;ABus;;;00,00,00.0;00,00,00.0;Brak;50;;Radlin II PKP;Radlin II PKP;Radlin II PKP;;Radlin II PKP;Radlin II PKP;;;;;;;730;DBTARAN1;15-03-2018;13:43:03;;;;;;;
679;Korfantego;Radlin Korfantego Centrum;;;;Sokolnia;60;3;1;;;;;;;ABus;;;18,28,19.9;50,03,02.9;Brak;50;;Radlin Centrum;Radlin Korfantego Centrum;Radlin Centrum;;Radlin Korfantego Centrum;Radlin Korfantego Centrum;Korfantego;Radlin;;RADLIN;;;427;.GRZEGORZ;11-05-2017;09:37:08;;;;;;;
680;Korfantego;Radlin Korfantego Centrum;;;;Marcel;60;0;1;;;;;;;ABus;;;18,28,28.9;50,02,58.9;Brak;50;;Radlin Centrum;Radlin Korfantego Centrum;Radlin Centrum;;Radlin Korfantego Centrum;Radlin Korfantego Centrum;Korfantego;Radlin;;RADLIN;;;103;.GRZEGORZ;24-11-2017;11:56:31;;;;;;;
681;Korfantego;Radlin Korfantego Centrum;;;;Mariacka 8;60;4;1;;;;;;;ABus;;;18,28,28.9;50,02,58.9;Brak;50;;Radlin Centrum;Radlin Korfantego Centrum;Radlin Centrum;;Radlin Korfantego Centrum;Radlin Korfantego Centrum;Korfantego;Radlin;;RADLIN;;;501;.GRZEGORZ;11-05-2017;09:37:08;;;;;;;
682;Korfantego;Radlin Korfantego Centrum;;;;Wrêbowa;60;1;1;;;;;;;ABus;;;18,28,31.1;50,02,57.8;Brak;50;;Radlin Centrum;Radlin Korfantego Centrum;Radlin Centrum;;Radlin Korfantego Centrum;Radlin Korfantego Centrum;Korfantego;Radlin;;RADLIN;;;106;.GRZEGORZ;24-11-2017;12:01:39;;;;;;;
683;Korfantego;Radlin Korfantego Centrum;;;;Wrêba 2;60;2;1;;;;;;;ABus;;;18,28,31.1;50,02,57.8;Brak;50;;Radlin Centrum;Radlin Korfantego Centrum;Radlin Centrum;;Radlin Korfantego Centrum;Radlin Korfantego Centrum;Korfantego;Radlin;;RADLIN;;;153;.GRZEGORZ;11-05-2017;09:37:08;;;;;;;
684;Korfantego;Radlin Korfantego Centrum;;;;Marcel N3;60;5;1;;;;;;;ABus;;;18,28,28.9;50,02,58.9;Brak;50;;Radlin Centrum;Radlin Korfantego Centrum;Radlin Centrum;;Radlin Korfantego Centrum;Radlin Korfantego Centrum;Korfantego;Radlin;;RADLIN;;;699;.GRZEGORZ;11-05-2017;09:37:08;;;;;;;
685;Korfantego;Radlin Korfantego KWK Marcel;;;;Kon;61;0;1;;;;;;;ABus;;;18,29,13.0;50,02,33.0;Brak;50;;R Marcel;Radlin Korfantego KWK Marcel;R Marcel;;Radlin Korfantego KWK Marcel;Radlin Korfantego KWK Marcel;Korfantego;Radlin;;RADLIN;;;104;.GRZEGORZ;24-11-2017;11:56:31;;;;;;;
686;Korfantego;Radlin Korfantego KWK Marcel;;;;Obszary;61;2;1;;;;;;;ABus;;;18,29,13.0;50,02,33.0;Brak;50;;R Marcel;Radlin Korfantego KWK Marcel;R Marcel;;Radlin Korfantego KWK Marcel;Radlin Korfantego KWK Marcel;Korfantego;Radlin;;RADLIN;;;141;.GRZEGORZ;11-05-2017;09:37:14;;;;;;;
687;Korfantego;Radlin Korfantego KWK Marcel;;;;R Centrum;61;1;1;;;;;;;ABus;;;18,29,16.0;50,02,30.0;Brak;50;;R Marcel;Radlin Korfantego KWK Marcel;R Marcel;;Radlin Korfantego KWK Marcel;Radlin Korfantego KWK Marcel;Korfantego;Radlin;;RADLIN;;;105;.GRZEGORZ;11-05-2017;09:37:14;;;;;;;
688;Korfantego;Radlin Korfantego KWK Marcel;;;;R Cent 2;61;3;1;;;;;;;ABus;;;18,29,16.0;50,02,30.0;Brak;50;;R Marcel;Radlin Korfantego KWK Marcel;R Marcel;;Radlin Korfantego KWK Marcel;Radlin Korfantego KWK Marcel;Korfantego;Radlin;;RADLIN;;;152;.GRZEGORZ;11-05-2017;09:37:14;;;;;;;
689;Korfantego;Radlin KorfantegoMakuszyñskiego;;;;Marcel;428;0;1;;;;;;;ABus;;;18,29,02.0;50,02,43.9;Brak;50;;R Kor Makusz;Radlin KorfantegoMakuszyñskiego;R Kor Makusz;;Radlin KorfantegoMakuszyñskiego;Radlin KorfantegoMakuszyñskiego;Korfantego;Radlin;;RADLIN;;;887;GRZEGORZ;14-01-2021;10:20:57;;;;;;;
690;Korfantego;Radlin KorfantegoMakuszyñskiego;;;;Centrum;428;1;1;;;;;;;ABus;;;18,29,02.0;50,02,43.9;Brak;50;;R Kor Makusz;Radlin KorfantegoMakuszyñskiego;R Kor Makusz;;Radlin KorfantegoMakuszyñskiego;Radlin KorfantegoMakuszyñskiego;Korfantego;Radlin;;RADLIN;;;888;ALASKA0;14-01-2021;10:23:39;;;;;;;
691;Wiosny Ludów;Radlin Marklowicka Dom Górnika;;;;Marklowice;76;0;1;;;;;;;ABus;;;18,30,01.1;50,02,35.9;Brak;50;;R D Górnika;Radlin Marklowicka Dom Górnika;R D Górnika;;Radlin Marklowicka DomGórnika;Radlin Marklowicka DomGórnika;Wiosny Ludów;Radlin;;RADLIN;;;144;.GRZEGORZ;11-05-2017;09:38:10;;;;;;;
692;Wiosny Ludów;Radlin Marklowicka Dom Górnika;;;;Marcel;76;1;1;;;;;;;ABus;;;18,30,01.1;50,02,35.9;Brak;50;;R D Górnika;Radlin Marklowicka Dom Górnika;R D Górnika;;Radlin Marklowicka DomGórnika;Radlin Marklowicka DomGórnika;Wiosny Ludów;Radlin;;RADLIN;;;145;.GRZEGORZ;11-05-2017;09:38:28;;;;;;;
693;;Radlin Osiedle;;;;;358;0;3;;;;;;;ABus;;;00,00,00.0;00,00,00.0;Brak;50;;Radlin Osiedle;Radlin Osiedle;Radlin Osiedle;;Radlin Osiedle;Radlin Osiedle;;;;;;;721;DBTARAN1;15-03-2018;13:43:03;;;;;;;
694;;Radlin Osiedle;;;;Obsz PKP;358;1;3;;;;;;;ABus;;;00,00,00.0;00,00,00.0;Brak;50;;Radlin Osiedle;Radlin Osiedle;Radlin Osiedle;;Radlin Osiedle;Radlin Osiedle;;;;;;;728;DBTARAN1;15-03-2018;13:43:03;;;;;;;
695;;Radlin Piekarnia;;;;;359;0;3;;;;;;;ABus;;;00,00,00.0;00,00,00.0;Brak;50;;Radlin Piekarni;Radlin Piekarnia;Radlin Piekarni;;Radlin Piekarnia;Radlin Piekarnia;;;;;;;722;DBTARAN1;15-03-2018;13:43:03;;;;;;;
696;;Radlin Piekarnia;;;;Rad Osiel;359;1;3;;;;;;;ABus;;;00,00,00.0;00,00,00.0;Brak;50;;Radlin Piekarni;Radlin Piekarnia;Radlin Piekarni;;Radlin Piekarnia;Radlin Piekarnia;;;;;;;729;DBTARAN1;15-03-2018;13:43:03;;;;;;;
>>>  [RYBNIK];;;;;(c) PZI 'TARAN' Mielec  www.taran.com.pl **;;19.11.2021;;07:10;#25;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

Przystanki:;;;;;;;;;;;;;;

;;;;;;;;;;;;

Lp; Ulica ; Nazwa przystanku ;;;; S³upek ; Nrprzystanku ; Nrs³upka ; Strefa ; PKPasa ; PKKier ; Nr inwentarzowy ; Urz¹dzenie przystankowe ;;; Autobus ; Inny - Techniczny ; Koleje PKP; GPS-D³ugoœæ ; GPS-Szerokoœæ ; GPS-pochodzenia ; GPS-Strefa; Lok.wg drogi; Nazwa skrócona ; Nazwa na wydruk ; Nazwa dla SRG ; Piktogram ; Wymowa skrócona ; Wymowa rozszerzona ; Ulica ; Miejscowoœæ ; Kraj ; Gmina ; Osiedle ; Nazwakrañca ; Ids³upka ; Modyfikowa³ ; Data edycji; Godzedycji ; Symbol przystanku ;; Symbol s³upka;; Dodatkowe inf. ;;
697;Rogozina;Radlin Rogozina;;;;R centrum;424;0;1;;;;;;;ABus;;;18,28,35.5;50,03,10.2;Brak;50;;R. Rogozina;Radlin Rogozina;Radlin Rogozina;;Radlin Rogozina;Radlin Rogozina;Rogozina;Radlin;;RADLIN;;;872;.GRZEGORZ;15-10-2020;10:07:27;;;;;;;
698;Rogozina;Radlin Rogozina;;;;Wrêbowa;424;1;1;;;;;;;ABus;;;18,28,34.3;50,03,08.5;Brak;50;;R. Rogozina;Radlin Rogozina;Radlin Rogozina;;Radlin Rogozina;Radlin Rogozina;Rogozina;Radlin;;RADLIN;;;873;ALASKA0;15-10-2020;10:08:26;;;;;;;
699;Rydu³towska;Radlin Rydu³towska Reden;;;;Sokolnia;211;2;1;;;;;;;ABus;;;18,27,43.9;50,03,15.8;Brak;50;;Radlin Reden;Radlin Rydu³towska Reden;Radlin Reden;;Radlin Rydu³towska Reden;Radlin Rydu³towska Reden;Rydu³towska;Radlin;;RADLIN;;;430;DBTARAN1;27-05-2013;12:45:10;;;;;;;
700;Rydu³towska;Radlin Rydu³towska Reden;;;;R Górka;211;3;1;;;;;;;ABus;;;18,27,43.9;50,03,15.8;Brak;50;;Radlin Reden;Radlin Rydu³towska Reden;Radlin Reden;;Radlin Rydu³towska Reden;Radlin Rydu³towska Reden;Rydu³towska;Radlin;;RADLIN;;;433;DBTARAN1;24-11-2017;12:01:39;;;;;;;
701;Rydu³towska;Radlin Rydu³towska RedenGórka;;;;Reden;212;1;1;;;;;;;ABus;;;18,27,05.0;50,03,13.0;Brak;50;;Reden Górka;Radlin Rydu³towska RedenGórka;Reden Górka;;Radlin Rydu³towska RedenGórka;Radlin Rydu³towska RedenGórka;Rydu³towska;Radlin;;RADLIN;;;435;DBTARAN1;27-05-2013;12:50:25;;;;;;;
702;Rydu³towska;Radlin Rydu³towska RedenGórka;;;;Cegielnia;212;0;1;;;;;;;ABus;;;18,27,07.9;50,03,13.0;Brak;50;;Reden Górka;Radlin Rydu³towska RedenGórka;Reden Górka;;Radlin Rydu³towska RedenGórka;Radlin Rydu³towska RedenGórka;Rydu³towska;Radlin;;RADLIN;;;434;DBTARAN1;24-11-2017;12:01:39;;;;;;;
703;Rymera;Radlin Rymera Piekarnia;;;;R centrum;210;0;1;;;;;;;ABus;;;18,27,51.1;50,02,51.0;Brak;50;;Radlin Piek;Radlin Rymera Piekarnia;Radlin Piek;;Radlin Rymera Piekarnia;Radlin Rymera Piekarnia;Rymera;Radlin;;RADLIN;;;425;.GRZEGORZ;11-05-2017;09:38:57;;;;;;;
704;Rymera;Radlin Rymera Piekarnia;;;;Biery;210;1;1;;;;;;;ABus;;;18,27,54.0;50,02,51.0;Brak;50;;Radlin Piek;Radlin Rymera Piekarnia;Radlin Piek;;Radlin Rymera Piekarnia;Radlin Rymera Piekarnia;Rymera;Radlin;;RADLIN;;;426;.GRZEGORZ;11-05-2017;09:38:57;;;;;;;
705;Ujejskiego;Radlin Ujejskiego;;;;Pêtla;377;0;1;;;;;;;ABus;;;18,29,24.9;50,02,25.2;Brak;50;;R Ujejskiego;Radlin Ujejskiego;R Ujejskiego;;Radlin Ujejskiego;Radlin Ujejskiego;Ujejskiego;Radlin;;RADLIN;;;762;.GRZEGORZ;24-11-2017;11:56:31;;;;;;;
706;Ujejskiego;Radlin Ujejskiego;;;;Pocz;377;1;1;;;;;;;ABus;;;18,29,24.9;50,02,25.2;Brak;50;;R Ujejskiego;Radlin Ujejskiego;R Ujejskiego;;Radlin Ujejskiego;Radlin Ujejskiego;Ujejskiego;Radlin;;RADLIN;;;763;.GRZEGORZ;11-05-2017;09:39:03;;;;;;;
707;Rymera;Radlin UM;;;;Piekarnia;333;0;1;;;;;;;ABus;;;18,28,25.1;50,02,52.3;Brak;50;;Radlin UM;Radlin UM;Radlin UM;;Radlin Urz¹d Miasta;Radlin Urz¹d Miasta;Rymera;Radlin;;RADLIN;;;672;DBTARAN1;12-04-2011;11:04:55;;;;;;;
708;Rymera;Radlin UM;;;;Miariacka;333;1;1;;;;;;;ABus;;;18,28,25.1;50,02,52.3;Brak;50;;Radlin UM;Radlin UM;Radlin UM;;Radlin Urz¹d Miasta;Radlin Urz¹d Miasta;Rymera;Radlin;;RADLIN;;;673;DBTARAN1;12-04-2011;11:12:22;;;;;;;
709;Œw Jacka;Radoszowy Koœció³;;;;Ryd;86;0;0;;;;;;;ABus;;;18,27,19.1;50,04,50.2;Brak;50;;Rad Koœció³;Radoszowy Koœció³;Rad Koœció³;;Radoszowy Koœció³;Radoszowy Koœció³;Œw Jacka;Rydu³towy;;RYDU£TOWY;;;171;.GRZEGORZ;11-05-2017;09:39:52;;;;;;;
710;Œw Jacka;Radoszowy Szko³a;;;;;303;0;0;;;;;;;ABus;;;00,00,00.0;00,00,00.0;Brak;50;;Radoszowy Szko³;Radoszowy Szko³a;Radoszowy Szko³;;Radoszowy Szko³a;Radoszowy Szko³a;Œw Jacka;;;;;;620;DBTARAN1;15-03-2018;13:43:03;;;;;;;
711;Raciborska;Raszczyce Centrum;;;;Rasz O Z;427;0;1;;;;;;;ABus;;;18,18,03.1;50,07,16.1;Brak;50;;Rasz Centrum;Raszczyce Centrum;Raszcz Centrum;;Raszczyce Centrum;Raszczyce Centrum;Raciborska;Lyski;;LYSKI;;;886;.GRZEGORZ;21-01-2021;05:44:18;;;;;;;
712;Raciborska;Raszczyce Centrum;;;;Adamo;427;1;1;;;;;;;ABus;;;18,18,03.1;50,07,16.1;Brak;50;;Rasz Centrum;Raszczyce Centrum;Raszcz Centrum;;Raszczyce Centrum;Raszczyce Centrum;Raciborska;Lyski;;LYSKI;;;889;ALASKA0;21-01-2021;05:44:09;;;;;;;
713;;Raszczyce I;;;;Koœció³;323;0;1;;;;;;;ABus;;;18,18,31.9;50,06,51.1;Brak;50;;Raszczyce I;Raszczyce I;Raszczyce I;;Raszczyce I;Raszczyce I;;Lyski;;LYSKI;;;661;.GRZEGORZ;11-05-2017;09:40:06;;;;;;;
714;;Raszczyce I;;;;¯ytna;323;1;1;;;;;;;ABus;;;18,18,31.9;50,06,51.1;Brak;50;;Raszczyce I;Raszczyce I;Raszczyce I;;Raszczyce I;Raszczyce I;;Lyski;;LYSKI;;;877;ALASKA0;09-11-2020;11:10:42;;;;;;;
715;;Raszczyce Koœció³;;;;Adamowice;324;0;1;;;;;;;ABus;;;18,18,08.2;50,07,14.8;Brak;50;;Raszczyce Koœ;Raszczyce Koœció³;Raszczyce Koœ;;Raszczyce Koœció³;Raszczyce Koœció³;;Lyski;;LYSKI;;;662;.GRZEGORZ;09-11-2020;11:27:21;;;;;;;
