>>> AN-SKASBIL-211 [RYBNIK];;;;;(c) PZI 'TARAN' Mielec  www.taran.com.pl **;;18.11.2021;18:36;;#1;
;;;;;;;;;;;;;

Skasowania i sprzeda¿ biletów w pojazdach (iloœæ) w okresie13-09-2021 - 17-09-2021;;;;;;;;;;;;;
Kursy : Szczegó³owy;;;;;;;;;;;;;;;
Filtr :   - Kursówki : Wszystkie  - Kursy : Wszystkie;;;;;;;;;;;;;;;
   Kursówka: 01   Linia:  6   Wariant: D - Plac Wolnoœci-Marcel   Kurs:  04:55;;;;;;;
Przystanek;;Skasowañ elektronicznych;;Sprzedanychu kierowcy;;Razem;
;;Portmonetka;Terminowe;;;;
14 ; R-k Œródmieœcie DworzecKolejowy;1 ;2 ; ;;3 ;
15 ; R-k Œródmieœcie Chrobrego;1 ; ; ;;1 ;
16 ; R-k Œródmieœcie PlacWolnoœci 1; ;1 ; ;;1 ;
17 ; R-k Pó³noc Rondo Gliwickie; ; ; ;; ;
18 ; Rybnik Dworzec AutobusowyA; ; ; ;; ;
 Razem: ;;82 ;57 ;4 ;;143 ;

   Kursówka: 01   Linia:  3   Wariant: A - Szpital-Marcel   Kurs:  10:14;;;;;;;
Przystanek;;Skasowañ elektronicznych;;Sprzedanychu kierowcy;;Razem;
;;Portmonetka;Terminowe;;;;
1 ; R-k Orzepowice Borki;1 ;5 ; ;;6 ;
2 ; R-k Orzepowice Szpital Woj;6 ;6 ;1 ;;13 ;
3 ; Rybnik Dworzec Autobusowy2;1 ; ;2 ;;3 ;
4 ; R-k Pó³noc Rondo Gliwickie;1 ;1 ;1 ;;3 ;
5 ; R-k Œródmieœcie PlacWolnoœci 2;20 ;2 ; ;;22 ;
6 ; R-k Œródmieœcie 3 Maja;6 ; ;2 ;;8 ;
7 ; R-k Œródmieœcie Urszulanki;4 ;2 ;1 ;;7 ;
8 ; R-k Œródmieœcie S¹d;9 ;6 ;2 ;;17 ;
9 ; R-k Smolna Franciszkanie;4 ; ; ;;4 ;
10 ; R-k Smolna Osiedle;2 ;2 ; ;;4 ;
11 ; R-k Zamys³ów Wodzis³awska; ; ; ;; ;
12 ; R-k Niedobczyce Pary¿; ; ; ;; ;
13 ; R-k Niedobczyce Karolinka; ; ; ;; ;
14 ; R-k Niedobczyce Szko³a; ; ; ;; ;
15 ; R-k Niedobczyce Stadion;1 ; ; ;;1 ;
16 ; R-k Niedobczyce Orlik;3 ;2 ;1 ;;6 ;
17 ; R-k Niedobczyce Wrêbowa;4 ;3 ;1 ;;8 ;
18 ; Radlin Rogozina; ; ; ;; ;
